,ADX,ADX_RB_13,ADX_RB_2,ADX_RB_21,ADX_RB_3,ADX_RB_5,ADX_RB_8,Close_EMA200,EMA15_30,EMA15_30_RB_13,EMA15_30_RB_2,EMA15_30_RB_21,EMA15_30_RB_3,EMA15_30_RB_5,EMA15_30_RB_8,EMA5_20,EMA5_20_RB_short_13,EMA5_20_RB_short_2,EMA5_20_RB_short_3,EMA5_20_RB_short_5,EMA5_20_RB_short_8,RSI_EMA5,RSI_EMA5_RB_13,RSI_EMA5_RB_2,RSI_EMA5_RB_21,RSI_EMA5_RB_3,RSI_EMA5_RB_5,RSI_EMA5_RB_8,RSI_RB_short_13,RSI_RB_short_2,RSI_RB_short_3,RSI_RB_short_5,RSI_RB_short_8,Rolling_EMA30_RB_short_13,Rolling_EMA30_RB_short_2,Rolling_EMA30_RB_short_3,Rolling_EMA30_RB_short_5,Rolling_EMA30_RB_short_8,Rolling_EMA50_RB_13,Rolling_EMA50_RB_2,Rolling_EMA50_RB_21,Rolling_EMA50_RB_3,Rolling_EMA50_RB_5,Rolling_EMA50_RB_8,Stochastic,Stochastic_RB_13,Stochastic_RB_2,Stochastic_RB_21,Stochastic_RB_3,Stochastic_RB_5,Stochastic_RB_8,pred_down_0,pred_down_1,pred_down_2,pred_down_3,pred_down_4,pred_down_5,pred_down_6,pred_down_7,pred_down_8,pred_down_9,pred_down_short_0,pred_down_short_1,pred_down_short_2,pred_down_short_3,pred_down_short_4,pred_down_short_5,pred_down_short_6,pred_down_short_7,pred_down_short_8,pred_down_short_9,pred_up_0,pred_up_1,pred_up_2,pred_up_3,pred_up_4,pred_up_5,pred_up_6,pred_up_7,pred_up_8,pred_up_9,pred_up_short_0,pred_up_short_1,pred_up_short_2,pred_up_short_3,pred_up_short_4,pred_up_short_5,pred_up_short_6,pred_up_short_7,pred_up_short_8,pred_up_short_9,trade_flag,trade_result
9694,40.75752995,28.22825818,28.49426002,57.96127361,38.48622544,56.03253405,52.279343,-2.137409459,-0.706034345,-0.185608486,-1.80194525,3.609277244,-2.71415794,-2.953176592,-2.132666667,0.389603635,-0.440770838,0.507216751,0.645392782,0.67120046,0.593780059,63.94647153,47.43210667,55.2645985,70.06064336,45.18056045,42.63246522,53.853299,49.93614304,63.70656371,68.64295125,62.5,61.69045005,0.000454148,3.23E-05,4.52E-05,0.000115698,0.000234256,-0.003706832,0.000126532,-0.00423184,0.000126007,-0.000540972,-0.001557219,66.14173228,2.5390625,85.43209877,46.14243323,20.68965517,26.4,92.30769231,0.685039713,0.653832702,0.817902952,0.703897468,0.647809673,0.687441918,0.486632532,0.493957785,0.537196487,0.548611848,0.678782883,0.667806047,0.720080037,0.738809957,0.683489395,0.724722814,0.758060674,0.734715212,0.715702821,0.792971727,0.314960287,0.346167298,0.182097048,0.296102532,0.352190327,0.312558082,0.513367468,0.506042215,0.462803513,0.451388152,0.321217117,0.332193953,0.279919963,0.261190043,0.316510605,0.275277186,0.241939326,0.265284788,0.284297179,0.207028273,-1,1
9905,24.17696973,40.47636861,18.48980188,34.12865815,19.27009111,6.725651856,33.98499519,-6.605572291,-0.010774822,-4.884805757,0.109633951,-1.445146932,0.310001104,-0.50125605,-1.094355736,-0.043936007,0.323554026,-0.165402875,-0.175241117,0.063889734,-0.01800578,45.40500623,34.30384232,54.47498416,41.78240381,56.38737196,51.54159098,63.02092537,55.07584597,38.77266388,31.26801153,47.19101124,57.80933063,-6.70E-05,7.10E-06,-1.13E-06,-3.47E-05,-1.85E-05,-0.000490776,7.49E-06,-0.004084269,5.96E-06,0.000289417,0.000292131,66.50246305,35.5723098,46.57836645,4.88372093,47.90286976,53.52480418,19.76744186,0.429332666,0.281222391,0.459334264,0.41326478,0.472641218,0.430869026,0.489187251,0.529363189,0.736443589,0.623465353,0.93998134,0.915568006,0.916043351,0.892798827,0.876999082,0.860879135,0.847090881,0.860394237,0.910241565,0.941558435,0.570667334,0.718777609,0.540665736,0.58673522,0.527358782,0.569130974,0.510812749,0.470636811,0.263556411,0.376534647,0.06001866,0.084431994,0.083956649,0.107201173,0.123000918,0.139120865,0.152909119,0.139605763,0.089758435,0.058441565,-1,1
9998,33.13651336,77.47852986,13.69308932,21.530389,16.94006078,39.01193111,19.49311222,-9.406035176,-0.049662006,-6.486596979,-3.324007079,0.165469091,-4.064066428,-5.322988492,-4.818355234,2.182901204,-1.763911967,2.077867582,2.184271744,2.162285803,1.27388413,64.62421439,21.56593551,50.29591373,55.30904668,43.62979674,40.56100186,43.96701771,54.75324675,72.21288515,69.86449864,56.4810482,57.1,0.001421221,0.000255415,0.000361757,0.000608388,0.001046846,-0.004983559,0.000820718,-0.008969871,0.000598668,-6.22E-05,-0.002108003,91.50326797,33.31503842,63.6239782,28.9183223,50.05417118,36.00317209,24.87016734,0.959368696,0.966543122,0.879489805,0.875947504,0.774379656,0.609533319,0.660733976,0.550280612,0.35316609,0.362444305,0.807544065,0.635939182,0.390117461,0.264779075,0.266722753,0.195514477,0.219196921,0.372488744,0.441543844,0.469332348,0.040631304,0.033456878,0.120510195,0.124052496,0.225620344,0.390466681,0.339266024,0.449719388,0.64683391,0.637555695,0.192455935,0.364060818,0.609882539,0.735220925,0.733277247,0.804485523,0.780803079,0.627511256,0.558456156,0.530667652,1,-1
10005,44.40546782,67.30205655,20.34501606,13.50246027,14.99794034,21.46624795,33.89550134,-15.40176325,-1.105253442,-7.010992633,-0.771726381,0.07808325,-2.483468378,-3.91670527,-4.880895896,-1.719470353,2.143055925,-1.02778128,0.047422087,1.178481468,2.088199434,50.4045897,27.47830321,58.58148373,52.07476064,52.06061571,44.62087544,35.52412692,60.25886865,34.92736077,48.46590909,62.9750983,69.86634265,0.000287325,-0.000258581,-0.000439637,-0.00049946,-0.00031117,-0.003802176,-4.06E-06,-0.009247558,0.000421192,1.12E-05,-0.001428046,16.02564103,9.022556391,92.16683622,35.59322034,83.25581395,54.01459854,43.62292052,0.550280612,0.35316609,0.362444305,0.285128533,0.185202212,0.287745396,0.438366925,0.309791777,0.826457729,0.883216422,0.372488744,0.441543844,0.469332348,0.479390289,0.427020675,0.575742631,0.798292379,0.815386929,0.948299788,0.992434109,0.449719388,0.64683391,0.637555695,0.714871467,0.814797788,0.712254604,0.561633075,0.690208223,0.173542271,0.116783578,0.627511256,0.558456156,0.530667652,0.520609711,0.572979325,0.424257369,0.201707621,0.184613071,0.051700212,0.007565891,-1,1
10192,27.75687165,15.98591247,21.98505558,27.10928431,21.18681876,20.26118217,11.57611547,-16.77951683,-1.514849634,-0.140248869,0.8298727,-0.79247629,0.650271075,1.275267326,0.639835529,-4.884385966,-0.041963625,-1.389361842,-0.816699963,0.365964805,0.826788361,38.99540067,48.04679026,51.89675513,60.86932283,45.79767474,58.989133,56.31119265,46.30484988,35.52875696,37.77120316,48.22043628,64.26193119,-0.000828652,-0.000803359,-0.000948143,-0.001139646,-0.00107731,0.000709606,-0.000604601,0.000668166,-0.000475702,-0.000427097,0.000332385,15.18119491,54.57685665,97.78325123,58.60566449,21.03825137,22.35772358,90.5511811,0.248051751,0.143610064,0.170588905,0.097420028,0.074398287,0.121235931,0.21607795,0.478963071,0.680280418,0.667367185,0.854350971,0.77388674,0.726705942,0.681725149,0.679371952,0.74118185,0.874156426,0.955272466,0.983104104,0.993400277,0.751948249,0.856389936,0.829411095,0.902579972,0.925601713,0.878764069,0.78392205,0.521036929,0.319719582,0.332632815,0.145649029,0.22611326,0.273294058,0.318274851,0.320628048,0.25881815,0.125843574,0.044727534,0.016895896,0.006599723,-1,1
10193,32.26690452,15.96978395,20.73480526,26.43034132,22.64642627,21.0588677,11.52349663,-21.73111368,-2.961236129,-0.221426876,0.889522022,-0.721693947,0.598366481,1.1402122,0.831690602,-7.593676183,0.153063947,-2.176384503,-1.389361842,-0.171671062,0.922585679,33.38865871,47.90946249,53.80609736,61.03476271,46.35171288,55.54923362,58.60459209,50,32.6513214,35.52875696,45.95185996,57.96344648,-0.001603615,-0.001333193,-0.001547339,-0.001812233,-0.001884652,0.000215088,-0.001164746,0.000134507,-0.000993658,-0.000938814,-0.000270798,3.47639485,48.35924007,82.62910798,57.29847495,46.17486339,4.280155642,97.76876268,0.143610064,0.170588905,0.097420028,0.074398287,0.121235931,0.21607795,0.478963071,0.680280418,0.667367185,0.868954599,0.77388674,0.726705942,0.681725149,0.679371952,0.74118185,0.874156426,0.955272466,0.983104104,0.993400277,0.997749534,0.856389936,0.829411095,0.902579972,0.925601713,0.878764069,0.78392205,0.521036929,0.319719582,0.332632815,0.131045401,0.22611326,0.273294058,0.318274851,0.320628048,0.25881815,0.125843574,0.044727534,0.016895896,0.006599723,0.002250466,-1,1
10194,37.75060623,15.74277272,19.24996957,27.45313857,24.4812375,21.10020791,12.202098,-27.74229663,-4.702260874,-0.392385706,0.972195241,-0.688674997,0.628145871,1.024515307,1.005202634,-10.4844012,0.301554738,-4.884385966,-2.176384503,-0.816699963,0.724889278,28.39617649,47.07887178,55.70715805,60.65794479,46.34319233,54.17764606,60.59515163,56.640625,14.20898438,32.6513214,37.77120316,50.17921147,-0.002567698,-0.00167533,-0.002263397,-0.002621884,-0.002833121,-0.000388287,-0.001874576,-0.000529243,-0.001676812,-0.001592669,-0.001014372,1.133631055,27.4611399,91.38381201,49.67320261,70.49180328,11.35531136,92.94990724,0.170588905,0.097420028,0.074398287,0.121235931,0.21607795,0.478963071,0.680280418,0.667367185,0.868954599,0.97230301,0.726705942,0.681725149,0.679371952,0.74118185,0.874156426,0.955272466,0.983104104,0.993400277,0.997749534,0.999966711,0.829411095,0.902579972,0.925601713,0.878764069,0.78392205,0.521036929,0.319719582,0.332632815,0.131045401,0.02769699,0.273294058,0.318274851,0.320628048,0.25881815,0.125843574,0.044727534,0.016895896,0.006599723,0.002250466,3.33E-05,-1,1
10195,43.64090194,13.80649101,18.29494949,28.08811664,25.03749244,22.10674012,13.54118705,-23.11993547,-5.766273045,-0.50158695,1.054088682,-0.678128797,0.666400868,0.921370539,1.027762,-10.84993688,0.631547446,-7.593676183,-4.884385966,-1.389361842,0.365964805,26.37749845,47.609986,56.11739231,60.15111308,47.00806645,51.85842813,61.43662855,66.01466993,8.158319871,14.20898438,35.52875696,48.22043628,-0.003303379,-0.001594619,-0.002338009,-0.00313949,-0.00347499,-0.000841696,-0.002422639,-0.001021931,-0.002199653,-0.002082604,-0.001550191,16.21435933,34.02417962,95.60723514,44.44444444,75.68306011,36.22047244,67.34693878,0.097420028,0.074398287,0.121235931,0.21607795,0.478963071,0.680280418,0.667367185,0.868954599,0.97230301,0.996011501,0.623806603,0.621356225,0.68827753,0.841314418,0.941452256,0.977362804,0.991019985,0.996888765,0.999951294,0.999999601,0.902579972,0.925601713,0.878764069,0.78392205,0.521036929,0.319719582,0.332632815,0.131045401,0.02769699,0.003988499,0.376193397,0.378643775,0.31172247,0.158685582,0.058547744,0.022637196,0.008980015,0.003111235,4.87E-05,3.99E-07,-1,1
10257,26.00957763,27.75687165,24.64038391,11.57611547,30.85740303,57.06139642,20.35936814,-15.21565891,-1.641192101,-1.514849634,-3.087169318,0.639835529,-4.423504483,-6.100028018,-6.771559191,0.157381214,0.461389541,0.575275278,0.788268992,1.138065452,0.266469983,56.00409126,38.99540067,53.00991344,56.31119265,53.48628621,39.19526668,53.66910112,51.07480653,57.10455764,65.25423729,67.76,56.84410646,0.000443544,-1.54E-05,-6.78E-06,5.53E-05,0.000301888,-0.01068139,9.77E-05,-0.010352556,0.000139335,-0.000560335,-0.003129625,22.13114754,15.18119491,71.48217636,90.5511811,87.04379562,95.96899225,32.87981859,0.863528247,0.886685915,0.875286332,0.858772568,0.669827629,0.575926931,0.474160353,0.581156626,0.6175905,0.722317021,0.419076372,0.540604413,0.669668755,0.783715853,0.723668768,0.550414538,0.42136374,0.475863501,0.588753981,0.673985143,0.136471753,0.113314085,0.124713668,0.141227432,0.330172371,0.424073069,0.525839647,0.418843374,0.3824095,0.277682979,0.580923628,0.459395587,0.330331245,0.216284147,0.276331232,0.449585462,0.57863626,0.524136499,0.411246019,0.326014857,-1,1
10266,30.61588812,80.51883386,28.01159657,21.25265526,21.17901394,32.27433938,54.13142108,-6.125191625,0.597440323,-11.64449147,-1.652813297,1.544793883,-2.348050244,-4.843797049,-7.74833074,3.410877585,0.985428623,1.944134195,1.099821598,0.039067589,-0.024927826,63.94068698,19.32354059,57.92444175,69.26266823,57.36371175,51.39036467,35.09395271,65.20400308,70.96188748,69.78281398,54.24311927,46.99331849,0.000954492,0.000537883,0.000748032,0.000965837,0.000961024,-0.004874524,0.000608564,-0.010327792,0.000693504,0.000795019,-0.000485995,86.76328502,23.180231,38.52459016,82.94573643,83.35949765,49.29577465,11.16193962,0.722317021,0.811116947,0.8740935,0.895156255,0.875439938,0.912016915,0.805369108,0.551184166,0.441061625,0.220001479,0.673985143,0.72087564,0.806917426,0.864445348,0.854185907,0.864425605,0.824610743,0.642601181,0.349276004,0.116697995,0.277682979,0.188883053,0.1259065,0.104843745,0.124560062,0.087983085,0.194630892,0.448815834,0.558938375,0.779998521,0.326014857,0.27912436,0.193082574,0.135554652,0.145814093,0.135574395,0.175389257,0.357398819,0.650723996,0.883302005,1,-1
