,time,open,high,low,close,tick_volume,spread,real_volume
0,1717787520,2307.65,2308.42,2306.81,2308.31,417,19,0
1,1717787700,2308.3,2309.48,2307.09,2308.99,542,19,0
2,1717787880,2308.99,2309.57,2308.12,2308.84,481,19,0
3,1717788060,2308.9,2310.82,2308.66,2310.71,477,19,0
4,1717788240,2310.72,2310.95,2309.73,2310.72,495,19,0
5,1717788420,2310.71,2311.74,2310.48,2311.21,463,19,0
6,1717788600,2311.16,2312.1,2308.37,2308.39,499,19,0
7,1717788780,2308.37,2309.7,2307.52,2307.99,533,19,0
8,1717788960,2308.19,2309.99,2308.03,2309.89,458,19,0
9,1717789140,2309.91,2312.2,2309.77,2311.99,505,19,0
10,1717789320,2311.94,2313.27,2311.42,2312.64,497,19,0
11,1717789500,2312.74,2313.38,2311.55,2313.12,411,19,0
12,1717789680,2313.15,2314.05,2312.27,2313.64,473,19,0
13,1717789860,2313.65,2314.5,2310.75,2310.75,540,19,0
14,1717790040,2310.74,2311.26,2309.31,2309.63,464,19,0
15,1717790220,2309.53,2311.84,2309.38,2311.62,399,19,0
16,1717790400,2311.67,2312.34,2310.03,2310.03,526,19,0
17,1717790580,2310.03,2310.33,2309.11,2309.74,439,19,0
18,1717790760,2309.73,2310.33,2309.37,2310.23,411,19,0
19,1717790940,2310.16,2310.37,2309.4,2310.09,326,19,0
20,1717791120,2310.1,2310.93,2309.76,2310.55,344,19,0
21,1717791300,2310.57,2310.88,2310.13,2310.64,268,19,0
22,1717791480,2310.47,2311.09,2309.18,2309.99,295,19,0
23,1717791660,2309.98,2310.03,2308.27,2308.83,400,19,0
24,1717791840,2308.85,2308.91,2305.34,2305.91,575,19,0
25,1717792020,2306.0,2307.67,2305.85,2307.41,618,19,0
26,1717792200,2307.36,2307.82,2305.62,2307.03,397,19,0
27,1717792380,2307.03,2308.02,2306.73,2307.89,306,19,0
28,1717792560,2307.89,2308.01,2306.8,2307.58,246,19,0
29,1717792740,2307.53,2307.78,2307.19,2307.35,214,19,0
30,1717792920,2307.39,2307.42,2305.63,2305.85,198,19,0
31,1717793100,2305.89,2306.79,2305.2,2306.59,274,19,0
32,1717793280,2306.68,2308.28,2306.57,2307.51,238,19,0
33,1717793460,2307.54,2307.69,2306.96,2307.28,205,19,0
34,1717793640,2307.28,2307.32,2303.87,2303.87,328,19,0
35,1717793820,2303.88,2305.67,2303.7,2305.4,361,19,0
36,1717794000,2305.37,2307.11,2305.37,2306.47,460,19,0
37,1717794180,2306.44,2306.62,2305.33,2305.65,315,19,0
38,1717794360,2305.75,2306.54,2305.36,2305.44,307,19,0
39,1717794540,2305.46,2305.65,2304.49,2304.54,313,19,0
40,1717794720,2304.53,2304.68,2303.67,2304.58,235,19,0
41,1717794900,2304.58,2304.79,2304.27,2304.76,267,19,0
42,1717795080,2304.77,2305.17,2304.54,2304.71,236,19,0
43,1717795260,2304.7,2305.52,2304.34,2304.4,201,19,0
44,1717795440,2304.44,2305.48,2304.27,2305.42,199,19,0
45,1717795620,2305.33,2305.4,2304.39,2304.92,276,19,0
46,1717795800,2304.98,2304.99,2302.74,2303.36,298,19,0
47,1717795980,2303.4,2303.61,2302.26,2302.51,289,19,0
48,1717796160,2302.59,2302.65,2300.38,2300.96,393,19,0
49,1717796340,2300.91,2301.25,2300.24,2300.79,304,19,0
